company,year,first_day_return,ofs_ratio,issue_size_log,profit_margin,return_on_assets,debt_to_equity,negative_networth_flag,revenue_log,assets_log,sub_total,sub_total_log,issue_price,broker_sentiment,gmp_return,gmp_available,nifty_close,vix_close,nifty_7d_return,nifty_30d_return,debt_to_equity_missing
Xelpmoc Design & Tech Ltd.,2019,-0.0931818181818181,0.0,15.068685727207525,-0.5941644562334218,-0.09043197416229311,,0,1.56234630490025,3.2492110246642736,2.72,1.3137236682850553,66.0,,,0,10893.650390625,15.720000267028809,0.0217698730662453,0.015502504095202,1
Chalet Hotels Ltd.,2019,0.037142857142857,0.4211482013269589,17.886476831826716,-0.08356081894821357,-0.011082419337663721,5.49779650864282,0,6.213006817055218,8.2314825078332,1.41,0.8796267475025636,280.0,,,0,11062.4501953125,15.630000114440918,0.0213739326490662,0.0240970358007059,0
MSTC Ltd.,2019,-0.0483333333333333,1.0,16.687401537869732,-0.010646642754181892,-0.0037306507730293682,0.9207733593559404,0,7.308241345543138,8.356467946421825,1.36,0.8586616190375187,120.0,1.0,,0,11570.0,16.649999618530273,0.0098717458927676,0.0706370227389998,0
Rail Vikas Nigam Ltd.,2019,0.0026315789473684,1.0,19.35070585002968,0.06726607256524507,0.02904352864787613,,0,8.235201564292822,9.0749111796685,1.7,0.9932517730102833,19.0,1.0,,0,11584.2998046875,21.1299991607666,-0.0011812549846956,0.0250504021238756,1
Metropolis Healthcare Ltd.,2019,0.0903977272727272,1.0,16.431817915412218,0.1566105642002752,0.15203466465712132,,0,6.3418044670888385,6.37140669798506,3.68,1.5432981099295553,880.0,0.0,,0,11643.4501953125,21.0,0.0033564733777844,0.0189554070756119,1
Polycab India Ltd.,2019,0.2174721189591078,0.7026597762686831,17.035268713464294,0.06441589268213736,0.06651058038474465,,0,8.6237220243256,8.591727215654021,36.51,3.624607564093796,538.0,1.0,,0,11690.349609375,21.38999938964844,0.0015763787331691,0.0230597241591256,1
Neogen Chemicals Ltd.,2019,0.2258139534883721,0.47109943073319477,15.632907559059491,0.07652326382365834,0.05147213680973843,1.8175313059033988,0,5.079477043053662,5.473991880620198,28.96,3.3998631586490187,215.0,0.3333333333333333,,0,11497.900390625,26.479999542236328,-0.0213012254422363,-0.009186057940885,0
Barak Valley Cements Ltd.,2019,0.3345238095238094,0.0,15.548934626857795,,,,0,,,28.3,3.3775875160230218,42.0,,,0,11788.849609375,14.949999809265137,0.0076240926670318,-0.0112347936312607,1
IndiaMART InterMESH Ltd.,2019,0.3386947584789311,1.0,15.402265751617541,0.023626476654790927,0.01538837322911578,,0,3.9950765605634317,4.4173937785111725,20.31,3.0591764461105257,973.0,0.5,,0,11916.75,13.699999809265137,0.006350536589622,-0.0087259558560117,1
Affle (India) Ltd.,2019,0.1746308724832215,0.8039216545559515,15.633761670961745,0.19544417310540854,0.3084602261957414,0.12415412235879023,0,5.524615935555547,5.07060087526369,47.7,3.885679030088544,745.0,1.0,,0,10855.5,16.739999771118164,-0.0113387978142076,-0.0606097635795836,0
Spandana Sphoorty Financial Ltd.,2019,-0.0088785046728972,0.6731403564432223,16.447407383680545,0.2963876702729166,0.06303541824893223,0.8219313659073588,0,6.949578372235797,8.496794546536862,1.05,0.7178397931503169,856.0,1.0,,0,11047.7998046875,16.649999618530273,-0.0055672846365798,-0.0325284230849223,0
Sterling & Wilson Solar Ltd.,2019,-0.0700641025641025,1.0,17.424674446721124,0.07553080321375444,0.11836785412246473,,0,9.042031773466752,8.59284226118307,0.99,0.688134638736401,780.0,1.0,,0,11053.900390625,16.75,0.0117199838756818,-0.0319941860783326,1
Indian Railway Catering & Tourism Corp.Ltd.,2019,1.276875,1.0,16.819211050770615,0.13931904367646908,0.10550433860467996,,0,7.579505161434002,7.857395676937797,109.21,4.702387636703451,320.0,1.0,,0,11305.0498046875,17.139999389648438,0.0160563531591967,0.0206890100110018,1
Vishwaraj Sugar Industries Ltd.,2019,0.0058333333333333,0.7,16.118095750958314,-0.05723008964531636,-0.02448752692655132,,0,5.7329528519559805,6.58001480928437,1.09,0.7371640659767197,60.0,0.0,,0,11341.150390625,17.43000030517578,0.0193009412263238,0.0239483916110798,1
Precision Pipes & Profiles Co.Ltd.,2019,-0.0756666666666666,0.0,15.424948670398354,,,,0,,,10.59,2.4501426573516603,150.0,,,0,12056.0498046875,13.899999618530272,-0.0014660064447665,0.0139143693966495,1
CSB Bank Ltd.,2019,0.5389743589743591,0.9414172461823269,16.860464712008604,0.054205287066400556,0.002555523613915626,,0,6.706507750517147,9.759863110303172,47.88,3.88936831486334,195.0,0.8333333333333334,,0,11994.2001953125,14.5600004196167,-0.0088011435934306,0.0044300362180199,1
Ujjivan Small Finance Bank Ltd.,2019,0.5108108108108108,0.0,19.12725094631112,0.13040296614303837,0.011616039334736372,1.7407598771996708,0,7.269519251819203,9.687127193268722,99.61,4.611251656303959,37.0,1.0,,0,11910.150390625,13.380000114440918,-0.0090070222726512,-0.0002769814481449,0
Manaksia Ltd.,2019,0.0506249999999999,0.0,16.5563506464056,,,,0,,,8.66,2.2679936482244267,160.0,,,0,12214.5498046875,11.630000114440918,-0.0036828299147366,0.0146913120035889,1
Prince Pipes & Fittings Ltd.,2019,-0.0640449438202247,0.4999999821999983,17.150920140688424,0.07014913595833662,0.026289848786546537,,0,5.943297938487373,6.923096990781335,1.66,0.9783261227936076,178.0,0.8,,0,12245.7998046875,10.529999732971191,-0.0013822507441234,0.0157389860753746,1
SBI Cards & Payment Services Ltd.,2020,-0.0950993377483443,0.9517130942412151,18.73658078080388,0.16969162918343547,0.044673142908584346,3.852038848640422,0,8.831136401776694,10.16563910207371,19.21,3.00617753141553,755.0,1.0,0.0,1,9955.2001953125,51.470001220703125,-0.0474814490550382,-0.178169717561985,0
Rossari Biotech Ltd.,2020,0.7467058823529412,0.8992443777956866,16.273086349299785,0.10806200523334768,0.13838225313878522,0.23346588530766013,0,6.404930893101632,6.158080074080319,55.11,4.0273140497628805,425.0,1.0,,0,11132.599609375,24.88999938964844,0.0365597052986217,0.0631839947832107,0
Yes Bank Ltd.,2020,0.025,0.0,23.249349118443465,-0.14969985361022856,-0.022067883230703262,5.246196403872752,0,10.54558140991313,12.460067988058015,1.0,0.6931471805599453,12.0,0.5,0.0,1,11194.150390625,24.540000915527344,0.0156003513151236,0.0781229308123856,0
Happiest Minds Technologies Ltd.,2020,1.2349397590361446,0.843308305957535,17.560063384901497,0.26835659660944433,0.08756194597612899,0.307795993855992,0,5.23638876992587,6.3527687594303766,82.26,4.421968241766829,166.0,1.0,,0,11604.5498046875,19.65999984741211,0.0135641902035067,0.0192528295426259,0
Route Mobile Ltd.,2020,0.8602857142857143,0.6000000233333349,16.657092143357673,0.08623118796029458,0.04242080556999511,0.14561309002760758,0,5.747161197958146,6.454931232012803,51.76,3.965753327849114,350.0,1.0,0.8857142857142857,1,11504.9501953125,20.049999237060547,0.0056730863705162,0.0117266339405375,0
Computer Age Management Services Ltd.,2020,0.1395121951219511,1.0,16.719489374071387,0.24978588033769727,0.048871865461727206,,0,5.1026673795427495,6.72916674577729,33.02,3.5269485869677157,1230.0,1.0,0.26666666666666666,1,11247.5498046875,19.530000686645508,0.0409049060889301,-0.0194154613293084,1
Chemcon Speciality Chemicals Ltd.,2020,0.7199999999999999,0.481132084549662,16.0512015041786,0.18363280956319075,0.21635147703618407,0.31189124798542495,0,5.587323561961949,5.424024479170771,101.72,4.632006839941651,340.0,1.0,0.9117647058823529,1,11247.5498046875,19.530000686645508,0.0409049060889301,-0.0194154613293084,0
Angel Broking Ltd.,2020,-0.0985294117647058,0.49999982149992594,16.79143984022202,0.15641771477733624,0.012841814940634355,1.1049486369024102,0,5.501625490028135,7.997696751202615,2.7,1.308332819650179,306.0,1.0,-0.016339869281045753,1,11416.9501953125,18.350000381469727,0.0168692541043928,0.0073320706380965,0
UTI Asset Management Co.Ltd.,2020,-0.13971119133574,1.0,17.478740918455664,0.3728926107647471,0.03097364114946896,,0,5.606059386127586,8.09083738427648,1.75,1.0116009116784799,554.0,0.6666666666666666,-0.02527075812274368,1,11914.2001953125,20.3799991607666,0.0357157349718959,0.0392299667526917,1
Mazagon Dock Shipbuilders Ltd.,2020,0.193103448275862,1.0,17.2364784749044,0.08618487492118779,0.022753950080201164,0.0,0,8.619083492839552,9.950706482964074,155.51,5.053119905702411,145.0,1.0,0.7241379310344828,1,11914.2001953125,20.3799991607666,0.0357157349718959,0.0392299667526917,0
Likhitha Infrastructure Ltd.,2020,0.1383333333333332,0.0,15.444751293772967,0.1221205233736716,0.19710489787824706,0.033590623213264725,0,5.098585119494288,4.623599321456458,7.96,2.192770226986839,120.0,0.5,0.05,1,11971.0498046875,20.209999084472656,0.0115297686289621,0.0389913041031339,0
Equitas Small Finance Bank Ltd.,2020,-0.0075757575757575,0.4590417335496848,18.870790833644527,0.07679401307642116,0.0027603682533239777,1.9815136236166595,0,6.622696429537047,9.947176154408684,1.53,0.9282193027394289,33.0,0.5,0.030303030303030304,1,11642.400390625,24.75,-0.0106519606020692,0.0197469719544772,0
Gland Pharma Ltd.,2020,0.2136333333333333,0.8070852333895286,17.58128088871583,0.3422388108568248,0.06684543844204234,0.0012514286723502386,0,6.821423670897264,8.453671752874763,1.72,1.000631880307906,1500.0,1.0,0.07866666666666666,1,12771.7001953125,19.56999969482422,0.0040684121561317,0.0698671662677024,0
Burger King India Ltd.,2020,1.3066666666666669,0.4444444444444444,18.72078534381011,-0.7843719090009891,-0.10105171945086314,0.9061172278313309,0,5.028147719180887,7.07167522659554,85.64,4.461761602692735,60.0,1.0,0.7166666666666667,1,13513.849609375,18.790000915527344,0.0118375687905958,0.0624137203269132,0
Mrs.Bectors Food Specialities Ltd.,2020,1.0678819444444445,0.9249539457234828,16.74775453203815,0.08865377599416271,0.06387068158296783,0.34206333678061324,0,6.085774226578724,6.413016236230084,137.63,4.931808513550284,288.0,1.0,0.7465277777777778,1,13601.099609375,20.5,-0.0101596413540209,0.0418186847653666,0
Antony Waste Handling Cell Ltd.,2021,0.2928571428571428,0.7166529197461606,16.069256815604465,0.13505346350534636,0.041056008592789406,0.9084623412767437,0,5.3757412635128405,6.5632488545325955,9.82,2.3813962734183356,315.0,0.5,0.5555555555555556,1,13981.75,21.100000381469727,0.0169100132734512,0.0661900676770565,0
Indian Railway Finance Corp.Ltd.,2021,-0.0442307692307691,0.3333333333333333,21.301040886345273,0.13931904367646908,0.10550433860467996,0.0,0,7.579505161434002,7.857395676937797,2.43,1.2325602611778486,26.0,1.0,0.0,1,13817.5498046875,24.290000915527344,-0.0385718360738925,-0.0117580443592279,0
Indigo Paints Ltd.,2021,1.0930536912751678,0.7436248809754524,15.876460045671415,0.10455733169382109,0.06615769894721486,,0,5.565439525034456,6.02172698523487,81.62,4.414251781968619,1490.0,1.0,0.5033557046979866,1,14281.2001953125,23.31999969482422,0.0029707213005963,0.0187395367059599,1
Home First Finance Co.India Ltd.,2021,0.0181467181467181,0.7703079071840699,16.918865850783448,0.21773099222829886,0.014225458062436195,2.668090144607818,0,5.497946610797179,8.222338792548028,18.62,2.976549454137217,518.0,1.0,0.23166023166023167,1,14647.849609375,23.350000381469727,0.0487094762394845,0.0364362023729813,0
Stove Kraft Ltd.,2021,0.1583116883116883,0.7697667709319646,16.187391556525807,0.08734181056720586,0.05773319959879639,,1,5.800636916020083,6.2136075980886085,9.75,2.3749057545736716,385.0,0.0,0.09090909090909091,1,14895.650390625,23.1200008392334,0.0924890218545849,0.0529751977114076,1
Nureca Ltd.,2021,0.6666249999999999,0.0,14.731871687360465,0.2942181019760917,0.3530100497609523,0.1552758954501452,0,4.8200396008500555,4.639474989680082,19.76,3.033028058297688,400.0,0.6666666666666666,0.175,1,14982.0,24.170000076293945,-0.0090581815234076,0.0521879912766481,0
RailTel Corp.of India Ltd.,2021,0.2914893617021277,1.0,18.283179998144238,0.08230705334248258,0.018363112624136334,0.0,0,6.318571638764219,7.817283194476904,29.24,3.4091655513113324,94.0,1.0,0.10638297872340426,1,15097.349609375,22.88999938964844,0.0077160284596258,0.0808913269643816,0
Heranba Industries Ltd.,2021,0.2954545454545454,0.9040369990303789,16.115285506197512,0.10708806382325867,0.08413693346190936,0.09972197450558674,0,6.430058130367383,6.670918400535925,57.49,4.068855799454934,627.0,1.0,0.430622009569378,1,15080.75,24.149999618530273,0.0379650285491519,0.0196619867441923,0
